Year,Sem,Division,Instructor,LoginID,Dept,Num,CourseName,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
2020,Fall,Heinz College,"ACQUISTI, ALESSANDRO",acquisti,HC,94806,PRIVACY DIGITAL AGE,9.08,4.65,4.54,4.54,4.27,4.62,4.58,4.73,4.54,4.42
2020,Fall,Heinz College,"ACQUISTI, ALESSANDRO",acquisti,ISM,95710,ECONOMIC ANALYSIS,10.19,4.77,4.57,4.64,4.49,4.7,4.68,4.83,4.7,4.55
2020,Spring,Heinz College,"AGARWAL, Saharsh",saharsha,ISM,95791,DATA MINING,16.07,4.13,4.27,4.33,4.27,4.2,4.07,4.73,4.13,4
2020,Fall,Heinz College,"AKOGLU, LEMAN",lakoglu,ISM,95869,BIG DATA LG SC CMPTG,10.03,4.52,4.87,4.7,4.48,4.87,4.65,4.81,4.65,4.48
2020,Spring,Heinz College,"APPLE, REBEKAH",rebekaha,HC,94883,APPLIED ETHICAL ANA,10.25,4.25,4.25,3.75,4,4,4.25,4.5,4.25,4
2020,Fall,Heinz College,"APPLE, REBEKAH",rebekaha,HC,94883,APPLIED ETHICAL ANA,5.5,5,4,4.5,4.83,5,4.67,5,4.83,4.67
2020,Summer,Heinz College,"APPLE, REBEKAH",rebekaha,PPP,90718,STRTGC PRSNTN SKILLS,5.95,5,4.37,4.68,4.79,4.95,4.47,4.95,4.84,4.58
2020,Spring,Heinz College,"ARMANIOS, DANIEL",darmanio,HC,94857,STRA MGT TECH INNOV,10.25,5,5,5,5,5,5,5,5,5
2020,Summer,Heinz College,"BALESTREIRE, JOSEPH",jbales,PMP,91864,LEAD LEAN SIX SIGMA,7.14,4.71,4.29,4.57,4.57,4.86,4.57,4.71,4.57,4.71
2020,Spring,Heinz College,"BARRETT, MARTIN",martinba,ISM,95702,DIST SYSTEM ISM,13.05,3.82,3.82,3.76,3.68,3.75,3.74,4.17,3.67,3.56
2020,Spring,Heinz College,"BARRETT, MARTIN",martinba,PPP,90812,INTRO TO PROGR,9.79,4.71,4.46,4.58,4.46,4.71,4.63,4.96,4.54,4.54
2020,Spring,Heinz College,"BARRETT, MARTIN",martinba,PPP,90819,INT PRG WITH PYTHON,8.44,4.84,4.73,4.76,4.62,4.82,4.69,4.93,4.81,4.82
2020,Spring,Heinz College,"BATCHELOR, JASON",jxb,ISM,95759,MALICIOUS CODE ANA,10,5,5,5,5,5,5,5,5,5
2020,Spring,Heinz College,"BECKJORD, ELLEN",eb3r,PPP,90833,POPULATION HEALTH,5,4.89,4.44,4.38,4,4.5,4.38,4.56,4.44,4.22
2020,Spring,Heinz College,"BENEDICT, MARY ELLEN",mb17,PMP,91803,ECO PRINC PLCY ANLYS,7.65,4.88,4.41,4.47,4.59,4.76,4.53,4.94,4.76,4.65
2020,Spring,Heinz College,"BENEDICT, MARY ELLEN",mb17,PPP,90747,COST BENEFIT ANLYSIS,6.71,4.36,4.07,3.93,4.21,4.14,4.14,4.86,3.86,3.71
2020,Spring,Heinz College,"BERLIN, LIZ",eberlin,AEM,93844,LIVE MUS TOUR REV ST,10.14,4.29,3.43,4,3.14,3.86,3.86,5,3.86,3.14
2020,Fall,Heinz College,"BIGRIGG, MICHAEL",bigrigg,ISM,95481,WEB APP DEV,6.5,4.5,4,4.5,4,5,4.5,5,4.5,4.5
2020,Spring,Heinz College,"BIGRIGG, MICHAEL",bigrigg,ISM,95881,WEB APP DEV,4.63,3.75,4.38,4.5,4.13,4.13,3.88,4.5,3.75,3.38
2020,Fall,Heinz College,"BIGRIGG, MICHAEL",bigrigg,ISM,95881,WEB APP DEV,11,4.13,4.25,4.13,3.75,4.13,4,4.5,3.88,3.88
2020,Spring,Heinz College,"BIGRIGG, MICHAEL",bigrigg,ISM,95882,ENTPR WEB DEV,9.71,3.29,3,3.43,2.71,3.43,3.14,3.71,3.14,3.07
2020,Spring,Heinz College,"BODYCOAT, MARILYN",mbodycoa,HC,94718,STRATG PRESENTN SKLS,9.5,4.5,4.25,4.5,4.75,4.75,4.5,4.75,4.25,4
2020,Spring,Heinz College,"BOLONGAITA, EMIL",emilb,PPP,90847,GRD CORPT RULE LAW,14.33,5,5,5,4.67,5,5,4.33,5,4.67
2020,Fall,Heinz College,"BORZUTZKY, SILVIA",sb6n,HC,94890,RACE PLTC & POL US,8.43,4.57,4.29,4.29,4.29,4.57,4.23,4.54,4.31,4.14
2020,Spring,Heinz College,"BORZUTZKY, SILVIA",sb6n,HC,94890,RACE PLTC & POL US,7.06,4.81,4.47,4.67,4.33,4.93,4.6,4.8,4.47,4.47
2020,Spring,Heinz College,"BORZUTZKY, SILVIA",sb6n,PPP,90703,GEN POLTC POL US WLD,6.33,4.78,4.78,4.78,4.56,4.78,4.44,4.78,4.56,4.56
2020,Spring,Heinz College,"BORZUTZKY, SILVIA",sb6n,PPP,90713,POL & PLTCS INTL PER,7.91,4.97,4.89,4.86,4.86,4.86,4.89,4.97,4.86,4.74
2020,Spring,Heinz College,"BORZUTZKY, SILVIA",sb6n,PPP,90714,POL & PLTC IN AM INS,7.77,4.69,4.73,4.62,4.85,4.73,4.62,4.92,4.62,4.38
2020,Fall,Heinz College,"BOSCH GOMEZ, Sofia",sboschgo,HC,94874,DES THINKING:SYSTEMS,6.5,5,4.9,5,4.8,4.9,5,5,4.89,5
2020,Spring,Heinz College,"BRANSTETTER, LEE",branstet,PPP,90745,METH POLICY ANALYSIS,7.63,4.56,4.56,4.25,3.81,4.81,4.73,4.63,4.63,4.56
2020,Spring,Heinz College,"BRANSTETTER, LEE",branstet,PROJECT,94739,CAPSTONE PROJECT,13.5,4.5,4,4.3,4.4,4.8,4.3,4.4,4.4,4.3
2020,Fall,Heinz College,"BRICHACEK, ROBERT",rbrichac,ISM,95797,DATA WAREHOUSING,11.79,3.85,3.86,4.14,3.93,4.29,3.93,4.36,4,3.69
2020,Spring,Heinz College,"BRIEM, CHRISTOPHER",cbriem,PPP,90743,URBAN REGNL ECON DEV,6.5,4,3.63,4.13,2.63,4.75,3.88,4.5,3.5,3.75
2020,Spring,Heinz College,"BRUCE, AFUA",afuab,PROJECT,90739,SYSTMS SYNTHESIS I,6,4.67,4,4,4.67,4,4.33,5,4.67,3.67
2020,Spring,Heinz College,"BRUSSALIS, CHRIS",cwb,HC,94808,MANAGEMENT CONSLTG,10,4.89,4.78,4.67,4.56,4.89,4.78,5,4.67,4.78
2020,Fall,Heinz College,"BUTKOVIC, MATTHEW",mjb101,ISM,95744,CYBRSEC POL & GOV I,8.05,4.64,4.55,4.5,4.27,4.68,4.55,4.77,4.41,4.36
2020,Spring,Heinz College,"BUTKOVIC, MATTHEW",mjb101,ISM,95744,CYBRSEC POL & GOV I,8,4,3,3,3,4,4,5,4,4
2020,Spring,Heinz College,"CAULKINS, JONATHAN",caulkins,HC,94833,DC AN MULTV DEC MKG,10.54,4.92,4.69,4.85,4.23,4.85,4.77,4.77,4.85,4.69
2020,Spring,Heinz College,"CAULKINS, JONATHAN",caulkins,PPP,90722,MNGMNT SCIENCE I,13.04,4.3,4.38,4.5,3.93,4.58,4.32,4.22,4.35,4.31
2020,Spring,Heinz College,"CAULKINS, JONATHAN",caulkins,PPP,90760,MANAGMENT SCIENCE II,12.44,4.18,4.21,4.51,3.95,4.53,4.28,4.08,4.19,4.13
2020,Spring,Heinz College,"CAULKINS, JONATHAN",caulkins,PROJECT,90739,SYSTMS SYNTHESIS I,12.5,5,4.5,4.5,5,5,4.5,4,5,4
2020,Fall,Heinz College,"CHARLTON, DAVID",dcharlto,PPP,90874,SP TP:PRNC PRC MANGM,6.5,3.5,3,4,3,3,2,3,2.5,2.5
2020,Spring,Heinz College,"CHEESEBROUGH, ANTHONY",acheeseb,PPP,90824,COST BENEFIT ANALYS,5.75,4.75,4.75,4.69,4.25,4.88,4.25,5,4.63,4.56
2020,Spring,Heinz College,"CHEN, GEORGE",georgech,HC,94775,UNSTRUC DATA ANA POL,11,5,5,5,5,4.67,4.67,5,4.67,4.67
2020,Spring,Heinz College,"CHEN, GEORGE",georgech,ISM,95865,UNSTRUC DATA ANALY,10.68,4.41,4.41,4.41,4.22,4.38,4.3,4.65,4.38,4.38
2020,Spring,Heinz College,"CHEN, GEORGE",georgech,PROJECT,95720,INFO SYSTEMS PROJECT,8,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75
2020,Fall,Heinz College,"CHOI, DAVID",davidch,ISM,95760,DCSN MKG UNCERTAINTY,9.02,4.7,4.7,4.75,4.5,4.59,4.64,4.86,4.64,4.43
2020,Spring,Heinz College,"CHOI, DAVID",davidch,ISM,95868,EXPG VISUALZG DATA,8,4.52,4.54,4.62,4.23,4.58,4.56,4.88,4.52,4.62
2020,Spring,Heinz College,"CHOW, JACK",jackchow,PPP,90839,GLOB HLTH SECURITY,4.73,4.82,4.91,4.91,4.36,4.73,4.73,4.91,4.91,4.55
2020,Spring,Heinz College,"CLAY, KAREN",kclay,ISM,95710,ECONOMIC ANALYSIS,7.12,4.53,4.71,4.76,4.24,4.59,4.71,4.94,4.53,4.41
2020,Fall,Heinz College,"COIS, CONSTANTINE",cacois,ISM,95706,OBJ ORIENTED A & D,12.67,3.33,4,4.22,2.89,4.22,4,3.89,3.44,3.67
2020,Spring,Heinz College,"COIS, CONSTANTINE",cacois,ISM,95771,DATA STRUC & ALGRTHM,14.22,4.56,4.56,4.67,4.67,4.67,4.67,4.78,4.67,4.67
2020,Fall,Heinz College,"COIS, CONSTANTINE",cacois,ISM,95898,INTRO TO PYTHON,11.33,4.58,4.58,4.75,4.83,4.83,4.58,4.83,4.58,4.33
2020,Spring,Heinz College,"CONNELL, ANNE",amb,HC,94806,PRIVACY DIGITAL AGE,11.64,4.82,3.55,3.91,3.55,4.91,4.27,4.91,4,3.73
2020,Spring,Heinz College,"COOK, MICHAEL",mbc1,ISM,95883,ETH PENETRATION TSTG,16.1,4.52,4.43,4.48,4.33,4.48,4.48,4.67,4.43,4.38
